model,arm,temperature,declared_extras,active_extras,message,repeat,one_question,no_advice,short,all_core,words
gemini-flash-lite-latest,flat,1.0,10,10,3,3,True,True,True,True,38
gemini-flash-lite-latest,flat,1.0,10,10,4,0,True,True,True,True,37
gemini-flash-lite-latest,flat,1.0,10,10,4,1,True,True,True,True,42
gemini-flash-lite-latest,flat,1.0,10,10,4,2,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,10,10,4,3,True,True,True,True,35
gemini-flash-lite-latest,scoped,1.0,10,2,0,0,True,True,True,True,29
gemini-flash-lite-latest,scoped,1.0,10,2,0,1,True,True,True,True,30
gemini-flash-lite-latest,scoped,1.0,10,2,0,2,True,True,True,True,30
gemini-flash-lite-latest,scoped,1.0,10,2,0,3,True,True,True,True,29
gemini-flash-lite-latest,scoped,1.0,10,2,1,0,True,True,True,True,30
gemini-flash-lite-latest,scoped,1.0,10,2,1,1,True,True,True,True,29
gemini-flash-lite-latest,scoped,1.0,10,2,1,2,True,True,True,True,31
gemini-flash-lite-latest,scoped,1.0,10,2,1,3,True,True,True,True,35
gemini-flash-lite-latest,scoped,1.0,10,2,2,0,True,True,True,True,44
gemini-flash-lite-latest,scoped,1.0,10,2,2,1,True,True,True,True,43
gemini-flash-lite-latest,scoped,1.0,10,2,2,2,True,True,True,True,41
gemini-flash-lite-latest,scoped,1.0,10,2,2,3,True,True,True,True,36
gemini-flash-lite-latest,scoped,1.0,10,2,3,0,True,True,True,True,38
gemini-flash-lite-latest,scoped,1.0,10,2,3,1,True,True,True,True,22
gemini-flash-lite-latest,scoped,1.0,10,2,3,2,True,True,True,True,24
gemini-flash-lite-latest,scoped,1.0,10,2,3,3,True,True,True,True,25
gemini-flash-lite-latest,scoped,1.0,10,2,4,0,True,True,True,True,34
gemini-flash-lite-latest,scoped,1.0,10,2,4,1,True,True,True,True,33
gemini-flash-lite-latest,scoped,1.0,10,2,4,2,True,True,True,True,25
gemini-flash-lite-latest,scoped,1.0,10,2,4,3,True,True,True,True,25
gemini-flash-lite-latest,flat,1.0,20,20,0,0,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,20,20,0,1,True,True,True,True,22
gemini-flash-lite-latest,flat,1.0,20,20,0,2,True,True,True,True,29
gemini-flash-lite-latest,flat,1.0,20,20,0,3,True,True,True,True,30
gemini-flash-lite-latest,flat,1.0,20,20,1,0,True,True,True,True,23
gemini-flash-lite-latest,flat,1.0,20,20,1,1,True,True,True,True,40
gemini-flash-lite-latest,flat,1.0,20,20,1,2,True,True,True,True,20
gemini-flash-lite-latest,flat,1.0,20,20,1,3,True,True,True,True,28
gemini-flash-lite-latest,flat,1.0,20,20,2,0,True,True,True,True,35
gemini-flash-lite-latest,flat,1.0,20,20,2,1,True,True,True,True,40
gemini-flash-lite-latest,flat,1.0,20,20,2,2,True,True,True,True,38
gemini-flash-lite-latest,flat,1.0,20,20,2,3,True,True,True,True,34
gemini-flash-lite-latest,flat,1.0,20,20,3,0,True,True,True,True,34
gemini-flash-lite-latest,flat,1.0,20,20,3,1,True,True,True,True,27
gemini-flash-lite-latest,flat,1.0,20,20,3,2,True,True,True,True,36
gemini-flash-lite-latest,flat,1.0,20,20,3,3,True,True,True,True,25
gemini-flash-lite-latest,flat,1.0,20,20,4,0,True,True,True,True,21
gemini-flash-lite-latest,flat,1.0,20,20,4,1,True,True,True,True,21
gemini-flash-lite-latest,flat,1.0,20,20,4,2,True,True,True,True,33
gemini-flash-lite-latest,flat,1.0,20,20,4,3,True,True,True,True,35
gemini-flash-lite-latest,scoped,1.0,20,5,0,0,True,True,True,True,42
gemini-flash-lite-latest,scoped,1.0,20,5,0,1,True,True,True,True,34
gemini-flash-lite-latest,scoped,1.0,20,5,0,2,True,True,True,True,26
gemini-flash-lite-latest,scoped,1.0,20,5,0,3,True,True,True,True,45
gemini-flash-lite-latest,scoped,1.0,20,5,1,0,True,True,True,True,21
gemini-flash-lite-latest,scoped,1.0,20,5,1,1,True,True,True,True,21
gemini-flash-lite-latest,scoped,1.0,20,5,1,2,True,True,True,True,23
gemini-flash-lite-latest,scoped,1.0,20,5,1,3,True,True,True,True,21
gemini-flash-lite-latest,scoped,1.0,20,5,2,0,True,True,True,True,42
gemini-flash-lite-latest,scoped,1.0,20,5,2,1,True,True,True,True,38
gemini-flash-lite-latest,scoped,1.0,20,5,2,2,True,True,True,True,40
gemini-flash-lite-latest,scoped,1.0,20,5,2,3,True,True,True,True,35
gemini-flash-lite-latest,scoped,1.0,20,5,3,0,True,True,True,True,24
gemini-flash-lite-latest,scoped,1.0,20,5,3,1,True,True,True,True,26
gemini-flash-lite-latest,scoped,1.0,20,5,3,2,True,True,True,True,25
gemini-flash-lite-latest,scoped,1.0,20,5,3,3,True,True,True,True,41
gemini-flash-lite-latest,scoped,1.0,20,5,4,0,True,True,True,True,25
gemini-flash-lite-latest,scoped,1.0,20,5,4,1,True,True,True,True,38
gemini-flash-lite-latest,scoped,1.0,20,5,4,2,True,True,True,True,37
gemini-flash-lite-latest,scoped,1.0,20,5,4,3,True,True,True,True,38
gemini-flash-lite-latest,flat,1.0,40,40,0,0,True,True,True,True,38
gemini-flash-lite-latest,flat,1.0,40,40,0,1,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,40,40,0,2,True,True,True,True,35
gemini-flash-lite-latest,flat,1.0,40,40,0,3,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,40,40,1,0,True,True,True,True,30
gemini-flash-lite-latest,flat,1.0,40,40,1,1,True,True,True,True,22
gemini-flash-lite-latest,flat,1.0,40,40,1,2,True,True,True,True,27
gemini-flash-lite-latest,flat,1.0,40,40,1,3,True,True,True,True,28
gemini-flash-lite-latest,flat,1.0,40,40,2,0,True,True,True,True,26
gemini-flash-lite-latest,flat,1.0,40,40,2,1,True,True,True,True,29
gemini-flash-lite-latest,flat,1.0,40,40,2,2,True,True,True,True,42
gemini-flash-lite-latest,flat,1.0,40,40,2,3,True,True,True,True,26
gemini-flash-lite-latest,flat,1.0,40,40,3,0,True,True,True,True,33
gemini-flash-lite-latest,flat,1.0,40,40,3,1,True,True,True,True,32
gemini-flash-lite-latest,flat,1.0,40,40,3,2,True,True,True,True,35
gemini-flash-lite-latest,flat,1.0,40,40,3,3,True,True,True,True,22
gemini-flash-lite-latest,flat,1.0,40,40,4,0,True,True,True,True,24
gemini-flash-lite-latest,flat,1.0,40,40,4,1,True,True,True,True,34
gemini-flash-lite-latest,flat,1.0,40,40,4,2,True,True,True,True,22
gemini-flash-lite-latest,flat,1.0,40,40,4,3,True,True,True,True,22
